barcode,name,brand,ingredients,allergens,energy_100g,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,serving_size,category,is_sustainable
194346194018,Sweet Cream Coffee Creamer,bettergoods,"MILK, SUGAR, CREAM, NATURAL FLAVOR",milk,840.0,200.0,10.0,6.67,26.7,26.7,0.0,15ml,Food,0
194346197422,Cocoa Almonds,Great Value,"almonds, sugar, corn syrup, fructose, cocoa powder, natural flavors (including cream), butter powder (butter [cream, salt]), nonfat milk, BHA [as preservative], dextrose, sweetened condensed milk (milk, sugar), butter (cream, salt), peanut oil, salt, molasses powder (sugar, molasses, caramel color), soy lecithin, baking soda, glycerine, caramel color","cocoa, corn-maize, lecithin, milk, peanuts, soybeans",2540.0,607.0,42.9,3.57,35.7,14.3,17.9,22piece,Food,0
194346207770,Chicken & Maple Breakfast Sausage Links,Bettergoods,"chicken meat, water, sugar, maple sugar, salt, natural flavors, spices, vegetable oil, corn starch, dextrose, garlic powder, onion powder, maltodextrin, gum acacia, maple syrup, yeast extract","chicken, corn-maize, garlic, onion, yeast",811.0,194.0,12.3,3.1,5.38,4.62,15.4,1serving,Food,0
194346207794,Cauliflower Thin Crust Pepperoni Pizza,BetterGoods,"cauliflower, brown rice flour, corn starch, tapioca starch, water, sunflower oil and/or extra virgin olive oil, yeast, xanthan gum, dried whole eggs, baking powder, sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate, sea salt, red wine vinegar, sugar, tomato puree, water, tomato paste, sea salt, sugar, garlic powder, onion powder, spices, low-moisture part-skim milk mozzarella cheese, pasteurized part-skim milk, cheese cultures, salt, enzymes, white cheddar cheese, pasteurized milk, cheese cultures, salt, enzymes, pork, salt, spices, dextrose, lactic acid starter culture, flavoring, paprika oleoresin, sodium nitrite","cauliflower, cereals-containing-gluten, corn-maize, eggs, garlic, milk, onion, paprika, pork, rice, sunflower-lecithin, tomato, xanthan-gum, yeast",1101.0,263.16,14.0,,26.32,,8.77,114g,Food,0
194346208166,Basil Alfredo Pasta Sauce,bettergoods,"WATER, WHIPPING CREAM, BUTTER, BASIL IN OIL (BASIL, SUNFLOWER SEED OIL, SUNFLOWER SEED OIL), PARMIGIANO REGGIANO CHEESE (MILK, SALT, RENNET), NATURAL FLAVORINGS, MODIFIED CORN STARCH, CORN MALTODEXTRIN, CASEIN, SODIUM CITRATE, SODIUM POLYPHOSPHATE, MILK POWDER, EGG YOLK POWDER, SALT, DRIED GARLIC, XANTHAN GUM, CONTAINS MILK, EGGS AND CASHEWS. MAY CONTAIN TRACES OF PEANUTS.","basil, casein, corn-maize, eggs, garlic, milk, peanuts, sunflower-lecithin, xanthan-gum",628.0,150.0,11.67,5.83,8.33,,1.67,60g,Condiments & Others,0
194346254460,Honey Wheat Sliced Brioche,Marketside,"flour blend (wheat flour, whole wheat flour), water, eggs, sugar, canola oil, honey, natural flavor, salt, wheat gluten, yeast, mono-and diglycerides, deactivated yeast, enzymes, acerola extract","cereals-containing-gluten, eggs, yeast",1534.0,366.67,10.0,,53.33,,10.0,30g,Food,0
195893693672,Drizzle Extra Virgin Olive Oil,Graza,ra virgin olive oil,,3350.0,800.0,93.3,13.3,0.0,,0.0,1portion,Condiments & Others,0
196411000088,Caulipower,Caulipower,"brown rice flour, water, white rice flour, mozzarella cheese, nonfat milk, cheese cultures, salt, enzymes, egg whites, eggs, potato starch, palm oil, tapioca starch, sugar, yeast, cauliflower powder, salt, garlic powder, onion powder, baking powder, corn starch, xanthan gum, natural flavors, citric acid, paprika extract, annatto extract","cauliflower, cereals-containing-gluten, citric-acid, corn-maize, eggs, garlic, milk, onion, paprika, potato, rice, xanthan-gum, yeast",935.0,224.0,10.6,2.9,30.6,2.35,5.88,6bites,Food,0
196633919731,Olive oil,Kirkland signature,"Refined olive oil, extra virgin olive oil",,3350.0,800.0,93.3,13.3,0.0,,0.0,1serving,Condiments & Others,0
196633939937,Texas Raw Unfiltered Honey,Kirkland Signature,HONEY,,1200.0,286.0,0.0,0.0,81.0,81.0,0.0,1tbsp,Condiments & Others,0
196633946935,Organic whole milk kirkland,Kirkland,"Organic Grade A Milk, Vitamin D3",milk,266.0,63.6,3.39,2.12,5.51,5.1,3.39,1serving,Health & Supplements,1
196633951779,Lightly Breaded Chicken Breast Chunks,Kirkland,"BONELESS SKINLESS CHICKEN BREAST, WATER, SEASONING (SUGAR, SALT, SPICES INCLUDING PAPRIKA AND CELERY, CHICKEN FAT, SPICE EXTRACTIVE, CANOLA OIL, SOYBEAN OIL), RICE STARCH. BREADED WITH: WHEAT FLOUR, SUGAR, SALT, NONFAT DRY MILK, DRIED EGG WHITES, BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STARCH, MONOCALCIUM PHOSPHATE), SPICE, PAPRIKA.","celery, cereals-containing-gluten, chicken, corn-maize, eggs, milk, paprika, rice, soybeans",796.0,190.0,7.14,1.19,10.7,2.38,19.0,1serving,Food,0
196633951786,Lightly Breaded Chicken Breast Chunks,Kirkland Signature,"boneless skinless chicken breast, water, seasoning, sugar, salt, spices, paprika, celery seed, chicken fat, spice extractive, canola oil, soybean oil, rice starch, wheat flour, sugar, salt, nonfat dry milk, dried egg whites, baking powder, spice, paprika, vegetable oil","celery, cereals-containing-gluten, chicken, eggs, milk, paprika, rice, soybeans",698.0,167.0,6.0,1.19,10.7,1.19,19.0,1serving,Food,0
196633951977,Whole Grain Rolled Oats,Kirkland Signature,Whole Grain Rolled Oats.,"cereals-containing-gluten, oats",1570.0,375.0,6.25,1.25,67.5,,12.5,1serving,Food,0
196633952172,Extra Lean Uncured Ham,Kirkland Signature,"Fresh Ham, Water, Contains 2% or less of: Salt*, Vinegar*, Dextrose, Dry Vinegar*, Natural Flavors*, Sodium Phosphate, Celery Powder*, Sea Salt*",celery,375.0,89.3,1.79,0.0,0.0,0.0,17.9,1portion,Condiments & Others,0
196633955418,100% Pure Maple Syrup,Kirkland Signature,pure organic maple syrup,,1530.0,367.0,0.0,0.0,90.0,80.0,0.0,1serving,Condiments & Others,1
196633966339,Roasted almonds with Sea Salt,Kirkland Signature,"Almonds, Sea Salt, Highly Refined Peanut Oil","peanuts, tree-nuts",2840.0,679.0,57.1,3.57,17.9,3.57,21.4,15pleces,Condiments & Others,0
196633976796,Sweet Heat Snack Mix,Kirkland Signature,"Almonds, peanut oil, seasoning, vinegar powder, onion powder, autolyzed yeast extract, garlic powder, paprika extract, habanero chili pepper powder, natural smoke flavor, spices, malic acid, mustard, natural flavor","bell-pepper, chili, garlic, mustard, onion, paprika, peanuts, yeast",2390.0,571.0,39.3,5.36,42.9,10.7,10.7,1portion,Condiments & Others,0
196852408740,Fusilli pasta,Kaizen,"Lupini Bean Flour, Xanthan Gum","cereals-containing-gluten, xanthan-gum",1270.0,304.0,6.25,0.89,33.9,3.57,33.9,1serving,Food,0
197644077588,Precision ISO,BioHealth,"Pasture Fed Whey Protein Isolate, Cocoa Powder, Natural Flavors, Stevia Extract, Salt","cocoa, milk, stevia",1521.0,363.64,1.52,,3.0,,81.82,33g,Health & Supplements,1
197644598250,Super Greens,Kiala,"Organic Alfalfa Grass, Organic Wheatgrass, Organic Barley, Grass, Organic Lemon Juice, Organic Kale, Organic, Astragalus, Organic Spirulina, Organic Oat Grass, Organic, Chlorella, Organic Coconut (Cocos nucifero) Water Powder, Coffea arabica Extract, Green Tea Extract, Broccoli, Sprout, Onion Extract, Apple Extract, Quercetin, Tomato,, Broccoli, Camu Camu, Maltodextrin, Acerola Extract, Acai,, Turmeric, Garlic, Basil, Oregano, Cinnamon, Carrot,, Elderberry, Mangosteen, Black Currant Extract, Blueberry, Extract, Sweet Cherry, Raspberry, Spinach, Chokeberry,, Kale, Blackberry, Bilberry Extract, Brussels Sprout,, Sunflower Lecithin, Citric Acid, Natural Flavors, Silica, Sucralose","apple, basil, blackberry, blueberry, broccoli, caffeine, carrot, cereals-containing-gluten, cherry, cinnamon, citric-acid, coconut, garlic, lecithin, lemon, oats, onion, oregano, raspberry, spinach, sucralose, sunflower-lecithin, tomato, turmeric",1010.0,241.0,,,,,,8.3g,Health & Supplements,1
197857000007,Sparkling Lemonade with Prebiotics Classic,KeVita,"SPARKLING WATER, APPLE JUICE CONCENTRATE, ACACIA, CANE SUGAR, LEMON JUICE CONCENTRATE, NATURAL FLAVORS, CITRIC ACID, FRUIT AND VEGETABLE JUICE FOR COLOR, PURIFIED STEVIA LEAF EXTRACT","apple, citric-acid, lemon, stevia",58.9,14.1,0.0,,3.9,2.54,0.0,1can,Beverages,0
197857000014,Sparkling Lemonade with Prebiotics Strawberry,KeVita,"SPARKLING WATER, APPLE JUICE CONCENTRATE, ACACIA, CANE SUGAR, LEMON JUICE CONCENTRATE, NATURAL FLAVORS, STRAWBERRY JUICE CONCENTRATE, CITRIC ACID, FRUIT AND VEGETABLE JUICE FOR COLOR, PURIFIED STEVIA LEAF EXTRACT","apple, citric-acid, lemon, stevia, strawberry",70.7,16.9,0.0,0.0,3.9,2.54,0.0,1portion,Beverages,0
197870009490,Wild blueberry preserves,Heb Organics,"organic wild blueberries, organic cane sugar, apple pectin, ascorbic acid (vitamin c), citric acid","apple, ascorbic-acid-vitamin-c, blueberry, citric-acid",1040.0,250.0,0.0,,65.0,60.0,0.0,1tbsp,Health & Supplements,1
197870019840,Alfredo Sauce,Midtown by H-E-B,"cream, water, parmesan cheese, milk, cheese culture, salt, enzymes, butter, modified egg yolk, egg yolks, salt, enzymes, romano cheese, cow's milk, cheese culture, salt, enzymes, modified corn starch, salt, disodium phosphate, black pepper, xanthan gum, white pepper","bell-pepper, corn-maize, eggs, milk, xanthan-gum",674.0,161.0,14.5,8.1,3.23,1.61,4.84,62g,Food,0
197870024806,Icelandic-Style Skyr Vanilla Bean Nonfat Yogurt,Central Market,"GRADE A NONFAT MILK, WATER, SUGAR, LEMON JUICE, NATURAL FLAVOR, VANILLA EXTRACT, PECTIN, GUAR GUM, LIVE AND ACTIVE CULTURES (B. SPECIES, L. ACIDOPHILUS, L. DELBRUECKII SUBSP, BULGARICUS, L. PARACASELS. THERMOPH","guar-gum, lemon, milk, vanilla",460.0,110.0,,,14.0,,15.0,150g,Food,0
197874001230,Jordans skinny syrups,Jordan’s Skinny Syrup,"Water, Cellulose Gum, Artificial Flavor, Sucralose, Citric Acid, Sodium Acid Sulfate, Acesulfame Potassium, Sodium Benzoate, Potassium Sorbate, Caramel Color","citric-acid, sucralose",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1portion,Beverages,0
197874001513,Strawberry lemonade,Jordan's Skinny Syrups,"Filtered Water, Citric Acid, Natural Flavor, Vegetable Juice (color), Sucralose, Acesulfame Potassium, Potassium Sorbate, Sodium Benzoate","citric-acid, sucralose",11.8,2.82,0.0,,0.56,0.0,0.0,4portion,Beverages,0
198168418703,Mac & Cheese Cheddar and Elbow,Boss Cow,"Organic Pasta (organic durum wheat semolina), Organic Raw A2/A2 Grass-Fed Cheddar Cheese* (organic raw cows milk, salt, rennet, cheese culture), Organic A2/A2 Grass-Fed Milk, Organic Arrowroot Powder, Sea Salt","cereals-containing-gluten, milk",1786.0,426.83,15.85,9.39,48.78,3.66,19.51,82g,Food,1
198386134140,Free Range Eggs,Pure Provisions,certified free range eggs,eggs,666.0,159.0,9.1,3.41,0.0,0.0,13.6,44g,Other,0
200102940000,Creamy charlotte baby potato salad,"Simply Better,Dunnes Stores","Baby Charlotte Potatoes (71%), Mayonnaise (21%) [Rapeseed Oil, Water, Pasteurised Free Range _Egg_ Yolk, Spirit Vinegar, Sugar, Salt, _Mustard_ Flour, _Mustard_ Husk, Sea Salt, Ground Pimento, Ground Turmeric), Sour Cream (_Milk_) (4.5%), Onions, Spring Onions (1.5%), Chives, Salt","cereals-containing-gluten, eggs, milk, mustard, turmeric",958.0,231.0,20.0,2.0,11.0,1.8,1.7,200g,Condiments & Others,0
200526203484,Sweet cherries,Walmart Store Baked,"enriched unbleached wheat flour, niacin, iron as ferrous sulfate, thiamine mononitrate, enzyme, riboflavin, folic acid, water, yeast, wheat gluten, high fructose corn syrup, salt, distilled monoglycerides, soybean and canola oil, datem, xanthan gum, guar gum, ascorbic acid, wheat starch, enzyme, cellulose gel, sodium citrate, sugar, calcium sulfate, ammonium sulfate, calcium propionate, baking soda, sodium aluminum phosphate","ascorbic-acid-vitamin-c, cereals-containing-gluten, corn-maize, guar-gum, soybeans, xanthan-gum, yeast",1670.0,400.0,5.83,0.83,71.7,8.33,18.3,1roll,Food,0
200544004995,Everything Bagels,BJ's,"enriched flour, wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, water, sugar, everything blend, sesame seeds, poppy seeds, dehydrated onion, salt, dehydrated garlic, cultured wheat flour, vinegar, degerminated yellow corn meal, yeast, gum acacia, inactivated dry yeast, ascorbic acid, enzymes","ascorbic-acid-vitamin-c, cereals-containing-gluten, corn-maize, garlic, onion, sesame-seeds, yeast",1090.0,261.0,1.41,0.35,53.5,5.63,9.15,142g,Food,0
200667010996,plain Goujons,Wilson of Wicklow,"Natural Chicken (75%), water, breadcrumbs(rice flour, water, dextrose monohydrate,vegetable fibre, salt, Emsulsifier mon and diglycerides of fatty acids (E471), carmelised sugar syrup, paprika extract.) Batter (potato starch, tapioca starch, maize flour, salt, yeast extract, pepper,xanthan gum (E415)sage) Vegetable oil (SOYA). Allergens Contains SOYA *Gluten Free* Frozen Raw Meat. Oven bake for best results.","bell-pepper, cereals-containing-gluten, chicken, corn-maize, paprika, potato, rice, soybeans, xanthan-gum, yeast",708.0,169.0,7.0,1.1,7.0,0.2,20.0,100g,Food,1
200981202886,Hamburger Rolls,Great Value,"ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, FERROUSSULFATE, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, YEAST, SUGAR. CONTAINS 2% OR LESS OF: SOYBEAN OIL, SALT, VITAL WHEAT GLUTEN, DOUGH CONDITIONERS(DATEM, SODIUM STEAROYL LACTYLATE, CALCIUM SULFATE, AMMONIUM SULFATE, ASCORBIC ACID, ENZYMES), XANTHAN GUM. CONTAINS: WHEAT, SOY.","ascorbic-acid-vitamin-c, cereals-containing-gluten, soybeans, xanthan-gum, yeast",586.0,140.0,2.0,,25.0,2.0,5.0,1g,Food,0
203121006993,Sesame Energy Balls,Hornsby Island,"Rolled oats, salted peanut butter, honey, black strap molasses, skim milk powder. sesame seeds, dark chocolate","cereals-containing-gluten, chocolate, milk, oats, peanuts, sesame-seeds",1799.0,430.0,21.0,4.0,49.0,20.0,14.0,1g,Food,0
204062604682,New Zealand Sharp Cheddar Cheese,Trader Joe's,"PASTEURIZED MILK, CHEESE CULTURES, SALT, MICROBIAL RENNET",milk,1790.0,429.0,35.7,21.4,0.0,0.0,25.0,1in,Food,0
209903607259,Deli turkey,Walmart,"TURKEY BREAST, TURKEY BROTH CONTAINS 2% OR LESS OF DEXTROSE SEA SALT, SALT, CARRAGEENAN VINEGAR SODIUM PHOSPHATE COATED WITH DEXTROSE  SALT HONEY SYRUP HONEY PAPRIKA, SPICES ONION NATURAL EXTRACTIVES OF PAPRIKA AND TUMERIC","carrageenan, onion, paprika",2092.0,500.0,1.0,,1.0,,10.0,1g,Condiments & Others,0
215510028073,Escalope de dinde,Maître coq,Dinde,,439.0,105.0,1.0,0.3,0.0,0.0,24.0,258g,Other,0
216049303501,Perfect Protein Salad,Outpost,"ORG SOYBEANS, ORG WHEATBERRIES, ORG SUCUMBERS, RED & GREEN BELL PEPPERS, ORG CELERY, ORG ED ONIONS, ORG ZUCCHINI, ORG CARROTS, ORG PARSLEY, DRESSING (GARLIC PUREE CORG GARLIC, EXTRA VIRGIN OLIVE IL), FOLLOW YOUR HEART VEGENAISE (EXPELLER-PRESSED ANOLA OIL, FILTERED WATER, BROWN RICE SYRUP, PROTEIN, SEA SALT, HUSTARD FLOUR, LEMON JUICE ONCENTRATES, ORG LEMON JUICE, ORG APPLE CIDER INEGAR (PASTEURIZED UNFILTERED ORGANIC APPLE CIDER VINEGAR, DILUTED WITH WATER TO 52 ACIDITY), DILL WEED, ASIL, DRY MUSTARD, SEA SALT, BLACK PEPPER) SOY ONTAINS: WHEAT, SOYBEANS.","apple, bell-pepper, celery, cereals-containing-gluten, garlic, lemon, mustard, rice, soybeans",447.0,106.73,6.25,2.0,9.62,,2.88,104g,Food,1
224196703495,Strawberry/banana yogurt parfait,Publix,"cultured nonfat milk, food starch-modified, pectin, vitamin A palmitate, vitamin D3, vanilla, water, fructose, food starch-modified, aspartame, natural flavors, citric acid, potassium sorbate, strawberries, sodium benzoate, bananas, granola mix, rolled oats, sugar, wheat flakes, crisp rice, canola oil, corn syrup, molasses, honey, barley malt","aspartame, cereals-containing-gluten, citric-acid, corn-maize, milk, oats, phenylalanine, rice, strawberry, vanilla",1088.0,260.0,,,,,,100g,Food,0
226077705444,Southwest chicken wrap,Walmart market side,"chicken breast, water, enriched flour, wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, water, lettuce, soybean oil, vegetable oil, sunflower oil, canola oil, buttermilk, salt, contains 2% or less of: jalapeno peppers, sugar, egg yolks, potassium acetate, garlic, chipotle powder, xanthan gum, onion powder, natural smoke flavor, natural flavor, phosphoric acid, sodium benzoate, amylase, dehydrated parsley, paprika","cereals-containing-gluten, chicken, eggs, garlic, lettuce, onion, paprika, soybeans, sunflower-lecithin, xanthan-gum",1360.0,325.0,14.0,3.5,32.5,3.0,17.5,0.5serving,Food,0
236496013075,Dubliner,Kerrygold,"PASTEURIZED MILK, SALT, CHEESE CULTURES & ENZYMES, MILK",milk,1640.0,393.0,32.1,21.4,0.0,,25.0,1portion,Food,0
240303203993,Sourdough,Food lion,"unbleached enriched wheat flour, wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid, water, whole wheat flour, salt, malt",cereals-containing-gluten,959.0,229.0,0.0,,47.6,1.76,8.82,1portion,Food,1
244346838723,Émincée de soja,Koro,"100% SOY&quot;. May contain traces of GLUTENSILE NUTS, SESAME/","sesame-seeds, soybeans, tree-nuts",1490.0,356.0,7.5,1.6,14.0,6.2,50.0,100g,Snacks,0
249521020450,Irish pork Crackling Joint,Tesco,"Pork (99%) Sea Salt, Garlic, Dextrose, Rosemary der Sape Oil of Lemon, ede using Insh pork hsh pon refrigerated within freezing and by se by for","garlic, lemon, pork, rosemary",1239.0,298.0,20.1,7.9,0.4,0.4,28.1,169g,Food,0
251518508889,Atlantic Salmon,Aldi,Salmon,fish,856.0,205.0,13.4,3.17,0.0,0.0,20.5,1portion,Food,0
254300473464,Barres céréales chocolat noir et cacahuètes,Netto,"AVOINE, BLE & RIZ CHOCOLAT NOIR ET CACAHUETES","cereals-containing-gluten, peanuts",1728.0,,12.86,3.33,63.81,27.14,9.52,21g,Other,0
255047703982,Sourdough bread - Members Mark,Members Mark,"wheat flour, water, sourdough starter, bacterial cultures, wheat flour, water, vital wheat gluten, sea salt, oxidizing agent blend, organic whole wheat flour, ascorbic acid, amylase","ascorbic-acid-vitamin-c, cereals-containing-gluten",1030.0,246.0,0.0,0.0,47.4,1.75,10.5,1serving,Food,1
257721011437,All Natural Shaved Beef Steak,Trader Joe’s,BEEF.,beef,597.0,143.0,7.14,2.68,0.0,0.0,20.5,1serving,Food,0
262324505085,Black Forest beechwood smoked ham,Prima dellla,"ham, WATER, CONTAINS 2% OR LESS OF SUGAR, DEXTROSE SEA SALT VINEGAR SODIUM PHOSPHATES, SALT, SODIUM ERYTHORBATE SODIUM NITRITE",,448.0,107.0,2.68,0.89,,,,56g,Condiments & Others,0
283918003008,4 Triple Choc Muffins,Tesco,"Sugar, Wheat Flour [Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin], Rapeseed Oil, Pasteurised Egg, Belgian Milk Chocolate Chunks (10%)[Sugar, Dried Whole Milk, Cocoa Butter, Cocoa Mass, Whey Powder (Milk), Emulsifier (Soya Lecithins), Flavouring], Water, Belgian Dark Chocolate Chunks (4%)[Cocoa Mass, Sugar, Emulsifier (Soya Lecithins), Flavouring], Cocoa Powder, White Chocolate Chunks (2%)[Sugar, Dried Whole Milk, Cocoa Butter, Dried Skimmed Milk, Emulsifier (Soya Lecithins), Flavouring], Modified Maize Starch, Whey Powder (Milk), Raising Agents (Disodium Diphosphate, Potassium Hydrogen Carbonate), Emulsifier (Mono - and Diglycerides of Fatty Acids), Salt, Natural Vanilla Flavouring.","cereals-containing-gluten, chocolate, cocoa, corn-maize, eggs, milk, sesame-seeds, soybeans, tree-nuts, vanilla",1756.0,420.0,22.1,5.3,48.2,31.8,5.6,69g,Food,1
2981444,Hi8 Original Muesli,Flahavan's,"Wholegrain Cereals (61%) (Wholegrain Rolled Oats, Wheat Flakes, Rye Flakes), Dried Fruit (32%) (Raisins (Raisins, Sunflower Oil), Apricots (Apricots, Rice Flour, Sulphur Dioxide), Chopped Dates (Dates, Rice Flour), Seeds (5%) (Sunflower Seeds, Pumpkin Seeds), Oat Flour Allergy Advice: For allergens, including cereals containing gluten, see ingredients in bold. Produced and packed in a nut free mill.","apricot, cereals-containing-gluten, dates, oats, raisins, rice, sulphur-dioxide-and-sulphites, sunflower-lecithin",1500.0,360.0,5.2,1.4,72.0,21.0,11.0,40g,Food,0
3042045,Avocado,No Brand,avocado,,669.0,160.0,14.7,,,0.7,2.0,25g,Food,0
3238141,Edame beans,Tesco,Edamame soya beans Ingredients Edamame Soya Beans (100%) Allergy advice For allergens see ingredients in bold.,soybeans,820.0,196.0,11.7,2.0,5.3,1.7,14.4,150g,Other,0
3246566,Cashew Nuts,Tesco,Cashew nut kernels,tree-nuts,2492.0,601.0,46.5,11.2,24.6,6.9,19.3,30g,Snacks,0
3249550,Pears,Tesco,Pears.,,196.0,47.0,0.1,0.1,10.0,10.0,0.3,133g,Other,0
3249833,Pink Lady Apples,"Tesco,Pink Lady",Apples.,,226.0,56.0,0.5,0.16,11.6,11.6,0.6,133g,Other,0
3314500,Sweet potatoes tesco,Tesco,Sweet Potatoes,,410.0,97.0,0.3,0.1,21.3,11.6,1.1,1portion,Snacks,0
3321751,Potato Salad,Tesco,"Potato (61%), Mayonnaise (32%) (Rapeseed Oil, Water, Egg [_Egg_, Salt], Spirit Vinegar, Sugar, Lemon Juice, Salt, _Mustard_ Powder, Dijon Mustard [Water, _Mustard_ Seed, Vinegar, Salt, Acidity Regulator (Citric Acid)], Stabiliser (Xanthan Gum)), Spring Onion, Sugar, Onion, Spirit Vinegar, Chive, Salt, Parsley","citric-acid, eggs, lemon, mustard, onion, potato, xanthan-gum",880.0,213.0,17.7,1.3,10.3,1.1,2.1,68g,Condiments & Others,0
3338803,Medjool dates,Tesco,Medjool dates with stones,dates,1172.0,280.0,0.5,0.1,64.1,54.5,2.0,100g,Other,0
3341728,Tesco Gala Apples,Tesco,Apples.,,226.0,53.0,0.1,0.1,11.8,11.8,0.4,133g,Other,0
3421321,Reduce fat houmous,"Tesco, Eastman's Deli Foods","Cooked Chickpeas (62%) [Water, Chickpeas], Water, Rapeseed Oil, Tahini Sesame Seed Paste, Cornflour, Acidity Regulator (Citric Acid), Salt, Garlic, Preservative (Potassium Sorbate). Allergy Advice For allergens, see ingredients in bold. Suitable for vegans","citric-acid, garlic, sesame-seeds",734.0,176.0,10.2,1.0,13.1,0.3,5.6,50g,Beverages,0
375534139329,Chocolate Orange Energy Balls,Jo's Absolute Nutrition,"Dates, Desiccated Coconut (SULPHITES), Honey, Cocoa (14%) Ground ALMOND, White Chocolate (4.5%) (Sugar, Cocoa Butter, Whole MILK Powder, SOYA Lecithin, Vanilla Extract), Orange Extract. Blend of EU & Non EU Honey. ALLERGEN INFORMATION: See ingredients in BOLD. Made on a line that handles PEANUTS, SOYA. May contain DAIRY. WARNING: May contain date pits or NUT Kernels.","almonds, chocolate, cocoa, coconut, dates, lecithin, milk, orange, peanuts, soybeans, sulphur-dioxide-and-sulphites, tree-nuts, vanilla",1803.0,432.0,23.0,15.0,46.0,39.0,7.1,50g,Food,0
420099389396,Ready to Eat 2 Sweet Chilli Hot Smoked Salmon Fillets,Lighthouse Bay,"Skin on, boneless hot beechwood smoked salmon with sweet chilli sauce. Ingredients: 91% Salmon (_Fish_), 8% Sweet Chilli Sauce (Sugar, Paprika Paste [Paprika, Spirit Vinegar, Sugar, Salt], Corn Starch, Red Wine Vinegar, Red Chilli Pepper, Paprika, Cumin, Black Pepper, Ginger, Coriander Leaves, Lemongrass, Turmeric, Salt, Water, Onions, Garlic, Chilli Flakes, Sunflower Oil, Flavouring), Salt. Allergy Advice: For allergens, see ingredients in bold.","bell-pepper, chili, coriander, corn-maize, cumin, fish, garlic, ginger, paprika, sunflower-lecithin, turmeric",814.0,195.0,10.5,1.62,4.0,3.89,21.1,92.5g,Condiments & Others,0
509986934384,Lakeland Dairies UHT Whole Milk,Lakeland Dairies,Milk,milk,273.0,65.0,3.6,2.2,4.8,4.8,3.4,12ml,Food,0
524000436664,Crevettes,Carrefour,"Queues de crevettes, sel, acidifiant : acide citrique",,401.0,95.0,0.5,0.5,0.5,,22.0,125g,Other,0
602652095030,Peanut Butter Dark Chocolate,Kind,Peanut Butter Dark Chocolate,"cereals-containing-gluten, chocolate, milk, peanuts",628.0,150.0,6.0,1.0,23.0,7.0,3.0,1g,Food,0
602652431838,Choco pumpk8n spice,Kind,"Almonds, tapioca syrup, sugar, peanuts, brown rice flour, palm kernel oil, chicory root fiber, honey, canola oil, alkalized cocoa, unsweetened chocolate, spices (allspice, cinnamon, ginger, nutmeg), sea salt, pumpkin powder, soy lecithin, natural flavor, Vitamin E (tocopherols to maintain freshness), cocoa butter","cereals-containing-gluten, chocolate, cinnamon, cocoa, ginger, lecithin, milk, nutmeg, peanuts, rice, soybeans",1990.0,476.0,33.3,7.14,47.6,19.0,9.52,1bar,Condiments & Others,1
602652433368,Healthy Grains Granola Oats & Honey With Toasted Coconut,Kind,"Oats, tapioca syrup, cane sugar, brown rice, honey, millet, oat flour, coconut, canola oil, buckwheat, amaranth, molasses, quinoa, brown rice syrup, sea salt, Vitamin E (tocopherols to maintain freshness)","amaranth, buckwheat, cereals-containing-gluten, coconut, millet, oats, quinoa, rice",1610.0,385.0,7.69,2.31,69.2,16.9,7.69,1serving,Food,0
602652433931,Kind Zero,Kind,"Almonds, allulose, tapioca fiber, chicory root fiber, palm kernel oil, brown rice, milk powder, natural flavor, sea salt, soy lecithin, cocoa, annatto extract","cocoa, lecithin, milk, rice, soybeans",1670.0,400.0,37.1,7.14,40.0,,14.3,1bar,Health & Supplements,1
602652434266,Caramel Mocha Nut Granola,KIND ZERO,"Almonds, sunflower seeds, tapioca fiber, allulose, cashews, almond butter (almonds), soy protein iso ate, coconut, date powder, natural flavor, canola oil, sea salt, cocoa powder, coffee powder, Vitamin E (mixed tocopherols for freshness)","almonds, caffeine, cocoa, coconut, dates, milk, soybeans, sunflower-lecithin, tree-nuts",1950.0,467.0,36.7,6.67,30.0,,16.7,0.3cup,Health & Supplements,1
602652434723,Kind Protein Max,Kind,"Peanuts, soy protein isolate, allulose, tapioca fiber, palm kernel oil, vegetable glycerin, chicory root fiber, unsweetened chocolate, alkalized cocoa, natural flavor, sea salt, tapioca starch, peanut oil, soy lecithin, Vitamin E (mixed tocopherols for freshness).","chocolate, cocoa, lecithin, peanuts, soybeans",1690.0,403.0,22.6,8.1,24.2,1.61,32.3,1bar,Health & Supplements,1
